Date,Open_USD_RUB,High_USD_RUB,Low_USD_RUB,Close_USD_RUB,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2024-04-01,92.2799987793,92.2799987793,92.2799987793,92.2799987793,0,0.0,0.0,RUB=X,,,RUB
2024-04-02,92.4499969482,92.4499969482,92.4499969482,92.2799987793,0,0.0,0.0,RUB=X,,,RUB
2024-04-03,92.4499969482,92.4499969482,92.4499969482,92.4499969482,0,0.0,0.0,RUB=X,,,RUB
2024-04-04,92.4499969482,92.4499969482,92.4499969482,92.4499969482,0,0.0,0.0,RUB=X,,,RUB
2024-04-07,92.5699996948,92.5699996948,92.5699996948,92.5699996948,0,0.0,0.0,RUB=X,,,RUB
2024-04-08,92.6200027466,92.6200027466,92.6200027466,92.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-04-09,92.6200027466,92.8899993896,92.6200027466,92.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-04-10,92.8899993896,92.8899993896,92.8899993896,92.8899993896,0,0.0,0.0,RUB=X,,,RUB
2024-04-11,92.8899993896,92.8899993896,92.8899993896,92.8899993896,0,0.0,0.0,RUB=X,,,RUB
2024-04-14,93.3000030518,93.3000030518,93.3000030518,93.3000030518,0,0.0,0.0,RUB=X,,,RUB
2024-04-15,93.3000030518,93.3000030518,93.3000030518,93.3000030518,0,0.0,0.0,RUB=X,,,RUB
2024-04-16,94.1399993896,94.1399993896,94.1399993896,93.3000030518,0,0.0,0.0,RUB=X,,,RUB
2024-04-17,94.1399993896,94.1399993896,94.1399993896,94.1399993896,0,0.0,0.0,RUB=X,,,RUB
2024-04-18,93.6999969482,93.6999969482,93.6999969482,93.6999969482,0,0.0,0.0,RUB=X,,,RUB
2024-04-21,93.6999969482,93.6999969482,93.1999969482,93.6999969482,0,0.0,0.0,RUB=X,,,RUB
2024-04-22,93.4700012207,93.4700012207,93.4700012207,93.0199966431,0,0.0,0.0,RUB=X,,,RUB
2024-04-23,93.4700012207,93.4700012207,93.4700012207,93.0199966431,0,0.0,0.0,RUB=X,,,RUB
2024-04-24,92.2699966431,92.2699966431,92.2699966431,93.4700012207,0,0.0,0.0,RUB=X,,,RUB
2024-04-25,92.2699966431,92.2699966431,92.2699966431,92.2699966431,0,0.0,0.0,RUB=X,,,RUB
2024-04-28,92.2699966431,92.2699966431,92.2699966431,92.2699966431,0,0.0,0.0,RUB=X,,,RUB
2024-04-29,93.4199981689,93.4199981689,93.4199981689,93.4199981689,0,0.0,0.0,RUB=X,,,RUB
2024-04-30,93.4199981689,93.4199981689,93.4199981689,93.4199981689,0,0.0,0.0,RUB=X,,,RUB
2024-05-01,93.2600021362,93.2600021362,93.2600021362,93.2600021362,0,0.0,0.0,RUB=X,,,RUB
2024-05-02,92.4899978638,92.4899978638,92.4899978638,93.2600021362,0,0.0,0.0,RUB=X,,,RUB
2024-05-05,92.4899978638,92.4899978638,90.6699981689,93.2600021362,0,0.0,0.0,RUB=X,,,RUB
2024-05-06,91.0699996948,91.0699996948,91.0699996948,91.0699996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-07,91.0699996948,91.2799987793,91.0699996948,91.0699996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-08,91.2799987793,91.6200027466,91.2799987793,91.2799987793,0,0.0,0.0,RUB=X,,,RUB
2024-05-09,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-12,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-13,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-14,91.3199996948,91.3199996948,91.3199996948,91.3199996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-15,90.7450027466,90.7450027466,90.7450027466,90.7450027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-16,90.8700027466,90.8700027466,90.8700027466,90.7450027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-19,90.8700027466,90.8700027466,90.8700027466,90.7450027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-20,90.2900009155,90.2900009155,90.2900009155,90.2900009155,0,0.0,0.0,RUB=X,,,RUB
