date,year,month,period,indicator,value,unit
2005-08-01,2005,8,60 август,Безналичные средства,3432.7,386 миллиард рублей
2005-09-01,2005,9,108 сентябрь,Безналичные средства,3552.1,386 миллиард рублей
2005-10-01,2005,10,105 октябрь,Безналичные средства,3561.9,386 миллиард рублей
2005-11-01,2005,11,104 ноябрь,Безналичные средства,3670.4,386 миллиард рублей
2005-12-01,2005,12,62 декабрь,Безналичные средства,4036.3,386 миллиард рублей
2006-01-01,2006,1,115 январь,Безналичные средства,3967.3,386 миллиард рублей
2006-02-01,2006,2,114 февраль,Безналичные средства,4029.6,386 миллиард рублей
2006-03-01,2006,3,68 март,Безналичные средства,4240.6,386 миллиард рублей
2006-04-01,2006,4,61 апрель,Безналичные средства,4332.3,386 миллиард рублей
2006-05-01,2006,5,67 май,Безналичные средства,4596.2,386 миллиард рублей
2006-06-01,2006,6,66 июнь,Безналичные средства,4858.9,386 миллиард рублей
2006-07-01,2006,7,65 июль,Безналичные средства,4940.4,386 миллиард рублей
2006-08-01,2006,8,60 август,Безналичные средства,5097.6,386 миллиард рублей
2006-09-01,2006,9,108 сентябрь,Безналичные средства,5356.7,386 миллиард рублей
2006-10-01,2006,10,105 октябрь,Безналичные средства,5367.4,386 миллиард рублей
2006-11-01,2006,11,104 ноябрь,Безналичные средства,5563.4,386 миллиард рублей
2006-12-01,2006,12,62 декабрь,Безналичные средства,6210.6,386 миллиард рублей
2007-01-01,2007,1,115 январь,Безналичные средства,6070.6,386 миллиард рублей
2007-02-01,2007,2,114 февраль,Безналичные средства,6220.1,386 миллиард рублей
2007-03-01,2007,3,68 март,Безналичные средства,6671.4,386 миллиард рублей
2007-04-01,2007,4,61 апрель,Безналичные средства,7146.6,386 миллиард рублей
2007-05-01,2007,5,67 май,Безналичные средства,7802.6,386 миллиард рублей
2007-06-01,2007,6,66 июнь,Безналичные средства,7830.2,386 миллиард рублей
2007-07-01,2007,7,65 июль,Безналичные средства,7836.5,386 миллиард рублей
2007-08-01,2007,8,60 август,Безналичные средства,7986.2,386 миллиард рублей
2007-09-01,2007,9,108 сентябрь,Безналичные средства,8273.2,386 миллиард рублей
2007-10-01,2007,10,105 октябрь,Безналичные средства,8162.6,386 миллиард рублей
2007-11-01,2007,11,104 ноябрь,Безналичные средства,8789.9,386 миллиард рублей
2007-12-01,2007,12,62 декабрь,Безналичные средства,9569.9,386 миллиард рублей
2008-01-01,2008,1,115 январь,Безналичные средства,9449.1,386 миллиард рублей
2008-02-01,2008,2,114 февраль,Безналичные средства,9592.8,386 миллиард рублей
2008-03-01,2008,3,68 март,Безналичные средства,9907.4,386 миллиард рублей
2008-04-01,2008,4,61 апрель,Безналичные средства,9746.3,386 миллиард рублей
2008-05-01,2008,5,67 май,Безналичные средства,10068.4,386 миллиард рублей
2008-06-01,2008,6,66 июнь,Безналичные средства,10519.9,386 миллиард рублей
2008-07-01,2008,7,65 июль,Безналичные средства,10402.8,386 миллиард рублей
2008-08-01,2008,8,60 август,Безналичные средства,10642.7,386 миллиард рублей
2008-09-01,2008,9,108 сентябрь,Безналичные средства,10470.4,386 миллиард рублей
2008-10-01,2008,10,105 октябрь,Безналичные средства,9557.6,386 миллиард рублей
2008-11-01,2008,11,104 ноябрь,Безналичные средства,9433.1,386 миллиард рублей
2008-12-01,2008,12,62 декабрь,Безналичные средства,9698.3,386 миллиард рублей
2009-01-01,2009,1,115 январь,Безналичные средства,8677.9,386 миллиард рублей
2009-02-01,2009,2,114 февраль,Безналичные средства,8719.7,386 миллиард рублей
2009-03-01,2009,3,68 март,Безналичные средства,8833.4,386 миллиард рублей
2009-04-01,2009,4,61 апрель,Безналичные средства,8928.9,386 миллиард рублей
2009-05-01,2009,5,67 май,Безналичные средства,9399.3,386 миллиард рублей
2009-06-01,2009,6,66 июнь,Безналичные средства,9638.5,386 миллиард рублей
2009-07-01,2009,7,65 июль,Безналичные средства,9570.9,386 миллиард рублей
2009-08-01,2009,8,60 август,Безналичные средства,9798.5,386 миллиард рублей
2009-09-01,2009,9,108 сентябрь,Безналичные средства,10163.9,386 миллиард рублей
2009-10-01,2009,10,105 октябрь,Безналичные средства,10308.0,386 миллиард рублей
2009-11-01,2009,11,104 ноябрь,Безналичные средства,10623.9,386 миллиард рублей
2009-12-01,2009,12,62 декабрь,Безналичные средства,11659.7,386 миллиард рублей
2010-01-01,2010,1,115 январь,Безналичные средства,11457.7,386 миллиард рублей
