BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2017-01-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.24,416.87,418.26,416.35,23020525992.0,1613.0,8.27,2,3529169272508.58,RUB,,3,,2017-01-27,
SNDX,RGBITR,2017-01-30,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.07,418.65,419.19,418.36,5080834685.0,1612.0,8.23,2,3536160720740.58,RUB,,3,,2017-01-30,
SNDX,RGBITR,2017-01-31,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.19,419.16,419.21,418.21,16537113452.0,1612.0,8.24,2,3537175198347.83,RUB,,3,,2017-01-31,
SNDX,RGBITR,2017-02-01,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.67,419.27,419.78,419.15,10933257610.0,1623.0,8.23,2,3522558056786.78,RUB,,3,,2017-02-01,
SNDX,RGBITR,2017-02-02,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.5,419.72,420.56,419.72,21123275369.0,1625.0,8.19,2,3529555870869.52,RUB,,3,,2017-02-02,
SNDX,RGBITR,2017-02-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.36,420.66,421.14,420.36,17010967754.0,1623.0,8.21,2,3528419551141.99,RUB,,3,,2017-02-03,
SNDX,RGBITR,2017-02-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.43,420.67,420.7,419.93,6716774732.0,1620.0,8.23,2,3529009905558.67,RUB,,3,,2017-02-06,
SNDX,RGBITR,2017-02-07,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.73,420.61,420.81,419.73,7121458422.0,1618.0,8.27,2,3523160992164.05,RUB,,3,,2017-02-07,
SNDX,RGBITR,2017-02-08,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.7,420.06,420.19,419.6,7833678064.0,1617.0,8.29,2,3520241451093.52,RUB,,3,,2017-02-08,
SNDX,RGBITR,2017-02-09,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.04,419.82,420.21,419.82,6945122386.0,1616.0,8.28,2,3523116159444.58,RUB,,3,,2017-02-09,
SNDX,RGBITR,2017-02-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.54,419.97,420.6,419.82,9393815072.0,1617.0,8.26,2,3527271207076.33,RUB,,3,,2017-02-10,
SNDX,RGBITR,2017-02-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,421.1,420.75,421.21,420.36,5134698736.0,1615.0,8.26,2,3531958603504.55,RUB,,3,,2017-02-13,
