BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2014-01-24,CNYRUB_TOM,CNYRUB_TOM,5.6629,5.6629,5.75,5.75,19,5.6797
CETS,2014-01-27,CNYRUB_TOM,CNYRUB_TOM,5.745,5.7383,5.7666,5.7532,21,5.747
CETS,2014-01-28,CNYRUB_TOM,CNYRUB_TOM,5.7271,5.7191,5.8499,5.8499,46,5.7343
CETS,2014-01-29,CNYRUB_TOM,CNYRUB_TOM,5.7053,5.7053,5.746,5.746,32,5.7286
CETS,2014-01-30,CNYRUB_TOM,CNYRUB_TOM,5.83,5.805,5.8753,5.805,7,5.8404
CETS,2014-01-31,CNYRUB_TOM,CNYRUB_TOM,5.8201,5.82,5.8201,5.82,2,5.82
CETS,2014-02-03,CNYRUB_TOM,CNYRUB_TOM,5.86,5.82,5.86,5.82,3,5.8337
CETS,2014-02-04,CNYRUB_TOM,CNYRUB_TOM,5.8288,5.8288,5.85,5.85,5,5.8496
CETS,2014-02-05,CNYRUB_TOM,CNYRUB_TOM,5.807,5.765,5.818,5.77,11,5.8059
CETS,2014-02-06,CNYRUB_TOM,CNYRUB_TOM,5.765,5.76,5.772,5.772,4,5.7683
CETS,2014-02-07,CNYRUB_TOM,CNYRUB_TOM,5.717,5.717,5.756,5.756,24,5.7308
CETS,2014-02-10,CNYRUB_TOM,CNYRUB_TOM,5.7351,5.7351,5.769,5.769,24,5.7476
CETS,2014-02-11,CNYRUB_TOM,CNYRUB_TOM,5.7555,5.7502,5.765,5.753,43,5.7557
CETS,2014-02-12,CNYRUB_TOM,CNYRUB_TOM,5.7445,5.743,5.773,5.773,24,5.7482
CETS,2014-02-13,CNYRUB_TOM,CNYRUB_TOM,5.7629,5.7554,5.8097,5.8097,40,5.7645
CETS,2014-02-14,CNYRUB_TOM,CNYRUB_TOM,5.825,5.8122,5.85,5.8122,68,5.8339
CETS,2014-02-17,CNYRUB_TOM,CNYRUB_TOM,5.8154,5.7955,5.8163,5.8121,29,5.8061
CETS,2014-02-18,CNYRUB_TOM,CNYRUB_TOM,5.8249,5.82,5.8515,5.8425,49,5.8249
CETS,2014-02-19,CNYRUB_TOM,CNYRUB_TOM,5.8773,5.867,5.9202,5.9202,59,5.8753
CETS,2014-02-20,CNYRUB_TOM,CNYRUB_TOM,5.895,5.88,5.9061,5.9,33,5.8934
CETS,2014-02-21,CNYRUB_TOM,CNYRUB_TOM,5.8669,5.8383,6.0392,6.0392,20,5.8652
CETS,2014-02-24,CNYRUB_TOM,CNYRUB_TOM,5.8298,5.8056,5.8338,5.8338,9,5.8261
